clause_text,clause_type,risk
MARKETING AFFILIATE AGREEMENT,Document Name,Low
"Birch First Global Investments Inc. (""Company""); Mount Kowledge Holdings Inc. (""Marketing Affiliate"", ""MA"")",Parties,Low
5/8/14,Agreement Date,Low
12/31/14,Expiration Date,Low
successive 1 year,Renewal Term,Low
Nevada,Governing Law,Low
Yes,Non-Disparagement,Low
Yes,Anti-Assignment,High
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Audit Rights,Medium
Yes,Cap On Liability,High
Yes,Warranty Duration,Low
VIDEO-ON-DEMAND CONTENT LICENSE AGREEMENT,Document Name,Low
"Rogers Cable Communications Inc. (""Rogers""); EuroMedia Holdings Corp. (""Licensor"")",Parties,Low
7/11/06,Agreement Date,Low
7/11/06,Effective Date,Low
6/30/10,Expiration Date,Low
2 years,Renewal Term,Low
"Ontario, Canada",Governing Law,Low
Yes,Most Favored Nation,Low
Yes,Termination For Convenience,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,Minimum Commitment,Low
Yes,License Grant,Low
Yes,Unlimited/All-You-Can-Eat-License,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
CONTENT DISTRIBUTION AND LICENSE AGREEMENT,Document Name,Low
"CONVERGTV, INC. (“ConvergTV”); Fulucai Productions Ltd. (""Producer"")",Parties,Low
11/15/12,Agreement Date,Low
11/15/12,Effective Date,Low
"perpetual, 11/15/2014",Renewal Term,Low
Florida,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Affiliate License-Licensee,Low
Yes,Unlimited/All-You-Can-Eat-License,Low
Yes,Audit Rights,Medium
WEBSITE CONTENT LICENSE AGREEMENT,Document Name,Low
"PSiTech Corporation (""Licensor""); Empirical Ventures, Inc (""Licensee"")",Parties,Low
2/10/14,Agreement Date,Low
2/10/14,Effective Date,Low
2/10/19,Expiration Date,Low
3 years,Renewal Term,Low
Nevada,Governing Law,Low
Yes,Exclusivity,Medium
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Non-Transferable License,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
CONTENT LICENSE AGREEMENT,Document Name,Low
"Beijing Sun Seven Stars Culture Development Limited (""Licensor""); YOU ON DEMAND HOLDINGS, INC (""Licensee"")",Parties,Low
12/21/15,Agreement Date,Low
12/21/15,Effective Date,Low
12/21/35,Expiration Date,Low
New York,Governing Law,Low
Yes,Rofr/Rofo/Rofn,Medium
Yes,Anti-Assignment,High
Yes,Revenue/Profit Sharing,Low
Yes,License Grant,Low
Yes,Irrevocable Or Perpetual License,Low
Yes,Audit Rights,Medium
Yes,Uncapped Liability,High
Yes,Cap On Liability,High
CO-BRANDING AND SERVICES AGREEMENT,Document Name,Low
"RSL COM PrimeCall, Inc. (""PrimeCall""); deltathree.com, Inc. (formerly known as Delta Three, Inc.) (""DeltaThree"")",Parties,Low
10/1/99,Agreement Date,Low
10/1/99,Effective Date,Low
10/1/02,Expiration Date,Low
New York,Governing Law,Low
Yes,Change Of Control,High
Yes,Anti-Assignment,High
Yes,License Grant,Low
Yes,Cap On Liability,High
CO-BRANDING AGREEMENT,Document Name,Low
"WOMEN.COM NETWORKS, INC. (""Women.com""); EDIETS.COM, INC. (""eDiets"")",Parties,Low
5/22/00,Agreement Date,Low
5/22/00,Effective Date,Low
5/22/02,Expiration Date,Low
successive 1 year,Renewal Term,Low
California,Governing Law,Low
Yes,Competitive Restriction Exception,Low
