Clause_No,Clause_Text,Predicted_Risk,Confidence (%),Risk_Score
1,"Page 1 of 7 LEASE AGREEMENT Term of Lease : ___________ Average Annual Rent : ___________ Stamp Duty : ___________ This Lease Agreement is made at _________ this ______ day of ______ , 20__ between M/s.",Low,99.0,1
2,"__________________ , a Partnership Firm, having its registered office at _____________________ , through its Partner _________________ , empowered to enter into this Lease Agreement on behalf of the Partnership Firm.",Low,99.8,1
3,"Hereinafter referred to as the “Lessor” (which expression shall unless it b e repugnant to the context or meaning thereof, be deemed to include the partners or partner for the time being of the said firm, the survivors or survivor of them and the heirs, executors, administrators of the last surviving partner of the said firm) of t he One Part .",Low,99.8,1
4,"AND ______________________________ , a company incorporated under the Companies Act, 1956 and having its registered office at __________________________________ and having one of its Branch Office at _____________________________ .",Low,99.9,1
5,"Hereinafter r eferred to as the “Lessee” (which expression shall unless it be repugnant to the context or meaning thereof, be deemed to include its successors and assigns) of the Other Part;",Low,99.8,1
6,The Lessor is the owner of and is entitled to the use and occupation of the Office Premises of a Built up area of ________ sq.,Medium,93.5,2
7,on the Ground Floor in the building known as “______________” (“the said building”) situated at K hasra No.,Low,99.9,1
8,______ at ____________________________ (Hereinafter refe rred to as the “sa id premises”) .,Low,99.9,1
9,"The Lessee being in need of premises for its office use at _________ , has approached the Lessor in that behalf and the Lessor has agreed to give the said Premises on Lease basis to the Lessee for a period of _____ (_________ ) years on the terms and conditions as hereinafter appearing.",Low,98.0,1
10,"The Lessor hereby represents and warrants that, the said Premises is the absolute property of the Lessor free from any charge or encumbrance and that no other person has any adverse right, title or interest t hereto and that the said Premises is not the subject matter of any order of attachment or other prohibitory order preventing the Lessor from allowing the Lessee to use and occupy the said Premises on Lease basis and that the Lessor is fully entitled to dea l with the said Premises and the incidental rights attached thereto.",High,99.6,3
11,NOW THIS AGREEMENT WITNESSETH AND IT IS HEREBY AGREED BY AND BETW EEN THE PARTIES HERETO AS UNDER : 1.,Low,99.8,1
12,The Lessor hereby permits the Lessee to use and occupy the said Premises on Lease basis at the Lease rent and on the terms and conditions contained in this Agreement.,Low,99.5,1
13,The Lessor has also agreed to allow the Lessee to use the common facilities that are available in the said building as per the rules prevailing in that behalf.,Low,81.4,1
14,(a) The period o f the Lease hereby granted by the Lessor to the Lessee in respect of the said Premises shall commence on ____________ and expire on ______________ .,Low,99.7,1
15,"(b) It is hereby expressly agreed by and between the parties that this Agreement can be terminated anytime d uring the ___ (______ ) years period starting from ___________ and ending on _____________ at the option of the Lessee, by giving 3 (three) months notice in writing to the Lessor.",High,99.8,3
16,"During the notice period, the monthly rent shall be appropriated fr om the Se curity deposit amount.",Medium,98.9,2
17,The Lessor shall not have the option to terminate the Lease dur ing the entire Lease period of ___ (_____ ) years.,High,99.8,3
18,Page 2 of 7 ( c ) The Lessor shall have the right to terminate the Lease forthwith by giving a notice in writing in that behalf to the Lessee if the Lessee fails to pay the monthly Lease Rent to the Lessor for consecutive 3 (three) months during the Lease period.,High,99.8,3
19,The Lessee has agreed to pay to the Lessor a sum of Rs.,Medium,98.9,2
20,"__________ /- (Rupees ___________ __ only) as an interest free refund able Security Deposit for the due performance and fulfillment of all the obligations, liabilities an d terms of the Lease Agreement.",Medium,98.3,2
21,It is expressly agreed and declared by the parties hereto that the said deposit shall not carry any interest and the Lessee will not be entitled under any circumstances during the subsistence of the Lease Agreement to call back or demand the said deposit or any part thereof except in case of the expiry of the Lease or its sooner determination.,Medium,93.8,2
22,"The interest free security deposi t shall be paid by cheque/ demand draft and shall be drawn in favour of the Lessor, viz.",Medium,98.8,2
23,"It is further agreed and declared by the parties hereto that the said deposit shall remain with the Lessor and will be returned in full and with out interest to the Lessee on the expiry of the Lease Agreement or its sooner determination (subject to deduction of dues, if any) simultaneously upon the Lessee surrendering/handing over the said Premises to the Lessor in the same state and condition, sub ject to normal wear and tear.",Medium,99.2,2
24,The Lessee agrees with the Lessor as under : (a) To pay to the Lessor a sum of Rs .,Medium,98.9,2
25,_____________ /- (Rupees __________ only) at _________ as the monthly Lease Rent for the use of the said Premises together with the entitlement to us e the common facilities available.,Medium,99.0,2
26,The above Lease rent shall be paid by the Lessee to the Lessor regularly on or before the 10th day of the following month to which it pertains.,Medium,97.6,2
27,"The sums shall be paid subject to deduction of income tax at source, if any , at the prevailing rates.",Medium,98.8,2
28,The payments shall be made by account payee cheques/demand drafts payable at par at _________ .,Medium,99.1,2
29,The cheques/demand drafts shall be drawn in favour of the Lessor ________________.,Medium,99.3,2
30,"(b) In addition to the aforesaid Lease Rent, the Less ee shall pay mo nthly maintenance charges @ Rs .",Medium,98.4,2
31,on built -up area of the said premises and amounting to Rs .,Medium,99.5,2
32,_______ /- (Rupees ______________ only) towards maintenance of common amenities.,Medium,99.5,2
33,The above maintenance charges will be paid by the Lessee to the Lessor regularly on or before 10th day of the following month to which in pertains.,Medium,99.3,2
34,"The sums shall be paid subject to deduction of Income -tax at source, if any, at the prevailing rates.",Medium,98.7,2
35,The payments shall be made by account payee cheques/d emand drafts payable at par at _________ .,Medium,99.1,2
